"",".rownames","price_3_nights","neigh_simp","number_of_reviews","reviews_per_month",".fitted",".resid",".hat",".sigma",".cooksd",".std.resid","obs_num"
"115","117",2745.18,"Unincorporated Areas",2,0.04,1250.91423693403,1494.26576306597,0.00665989006294937,841.764479176824,0.0035273668890623,1.77670939210048,115
"116","118",1866.36,"Unincorporated Areas",9,0.14,1237.03942329809,629.320576701913,0.00629731477572721,844.268595519546,0.000591166976509753,0.748137180430833,116
"117","119",3654.2,"City of Santa Cruz",3,0.37,1070.76035398286,2583.43964601714,0.00767235070011689,835.669659393883,0.0121713493430789,3.07332375067271,117
"118","120",2515.66,"Unincorporated Areas",21,0.53,1216.38083507615,1299.27916492385,0.00522837553001116,842.511113158343,0.00208760712612093,1.54375479006458,118
"119","121",2627.4,"City of Santa Cruz",48,0.7,977.08949835771,1650.31050164229,0.00691957319863368,841.09332603926,0.00447265722659393,1.96250598764275,119
"120","122",220.46,"Unincorporated Areas",82,1.23,1093.0193475004,-872.5593475004,0.0055039178995761,843.772195481211,0.00099169830486629,-1.03688591571179,120
"121","123",1057,"City of Capitola",3,0.05,1266.47962276385,-209.479622763852,0.0181366717047984,844.746923833232,0.000193224816994252,-0.250526575228802,121
"122","124",755,"Unincorporated Areas",5,0.12,1245.4992409855,-490.499240985503,0.00637376658293792,844.48006955683,0.000363538626658759,-0.583128614977157,122
"123","125",1703.28,"City of Santa Cruz",46,0.68,981.176350691106,722.103649308894,0.00691499404650098,844.097521086922,0.000855740067054571,0.858704750910411,123
"124","126",1510,"Unincorporated Areas",87,1.28,1082.80221666691,427.197783333089,0.00570987308965742,844.559262439069,0.000246707304813392,0.507703275521303,124
"125","127",302,"Unincorporated Areas",20,0.3,1215.27701801597,-913.277018015974,0.00582311775613146,843.672903486853,0.00115015702528365,-1.08544603673057,125
"126","128",1597.58,"Unincorporated Areas",53,0.79,1150.13285867995,447.447141320052,0.00514828223841128,844.53533910918,0.000243754667876023,0.53161851623897,126
"127","129",151,"Unincorporated Areas",51,0.75,1153.93359799272,-1002.93359799272,0.00518343438748445,843.439930591873,0.00123310419534987,-1.19162118144366,127
"128","130",117.78,"City of Santa Cruz",5,0.08,1062.23874982978,-944.458749829776,0.00813115202516939,843.591235357323,0.00172557323224332,-1.12381133329332,128
"129","131",2346.54,"Unincorporated Areas",19,0.3,1217.46350069298,1129.07649930702,0.00581450721710447,843.072859572161,0.00175528900727538,1.34192176082638,129
"130","132",135.9,"Other",13,0.19,510.670583976084,-374.770583976084,0.0916264678541956,844.598359049018,0.00365045348858299,-0.46598377788831,130
"131","133",383.54,"Unincorporated Areas",48,0.71,1159.9208199825,-776.380819982499,0.00519083275678406,843.988175822911,0.000739998605227911,-0.922449175067751,131
"132","134",558.7,"City of Santa Cruz",124,1.84,827.225257080555,-268.525257080555,0.00955356570396867,844.708937697104,0.000164360561927254,-0.319747518664552,132
"133","135",2177.42,"City of Santa Cruz",26,0.41,1021.04347845287,1156.37652154713,0.00723343916228007,842.985275544392,0.00229706301427154,1.37535000526509,133
"134","136",1766.7,"City of Santa Cruz",13,0.19,1046.32051002713,720.379489972868,0.00777050948059598,844.100298668976,0.000958675741921525,0.857023661252391,134
"135","137",1757.64,"City of Santa Cruz",32,0.49,1009.06903447331,748.570965526688,0.00709638673724508,844.044371767802,0.000944088866558839,0.890260226272737,135
"136","138",1812,"City of Capitola",23,0.34,1226.89860802271,585.101391977291,0.0174822279737024,844.336359907927,0.00145111569236565,0.69951730415615,136
"137","139",1057,"Unincorporated Areas",115,2,1031.88077045313,25.1192295468736,0.00685489743492247,844.806458291665,1.02638904012969e-06,0.0298701566544616,137
"138","140",1827.1,"Unincorporated Areas",16,0.52,1227.17019195089,599.929808049107,0.00528654165741079,844.318251497705,0.000450091051563719,0.712834945526971,138
"139","141",3355.22,"Unincorporated Areas",46,1.25,1172.0188368934,2183.2011631066,0.00454272490897891,838.312367364263,0.0051142566997081,2.59310426733807,139
"140","142",1002.64,"Unincorporated Areas",27,0.42,1201.68831740065,-199.048317400652,0.00553312324034717,844.753480046537,5.18836530230602e-05,-0.236537982255985,140
"141","143",906,"City of Capitola",28,0.43,1217.25370323047,-311.25370323047,0.0173282972454245,844.674089533605,0.000406903916017407,-0.372089864673009,141
